hour	V1
00	0.174713879972438
01	0.173695085927155
02	0.150695759889334
03	0.169791316490393
04	0.151206410009406
05	0.148844606946984
06	0.16125896879693
07	0.169752186937141
08	0.169944606357723
09	0.16370384164007
10	0.178445017697522
11	0.201951430555714
12	0.200355103745996
13	0.185976554092009
14	0.201500020053744
15	0.193464883398806
16	0.194735525312884
17	0.189358645518894
18	0.180290749187806
19	0.168657900229597
20	0.162430702482659
21	0.169886369984693
22	0.179598805916143
23	0.188193129564512
